date, leftPanel, pair, rightPanel
28/08/2019, 490, 32,679
29/08/2019, 446, 47,179
30/08/2019, 770, 44,130
31/08/2019, 589, 26,114
01/09/2019, 499, 22,147
02/09/2019, 127, 06,790
03/09/2019, 129, 24,338
04/09/2019, 159, 54,699
05/09/2019, 223, 76,899
06/09/2019, 160, 77,890
07/09/2019, 156, 20,479
08/09/2019, 258, 53,689
09/09/2019, 480, 24,770
10/09/2019, 247, 33,148
11/09/2019, 367, 67,124
12/09/2019, 469, 99,450
13/09/2019, 780, 55,267
14/09/2019, 360, 96,123
15/09/2019, 258, 59,234
16/09/2019, 449, 74,789
17/09/2019, 147, 26,899
18/09/2019, 589, 26,268
19/09/2019, 588, 14,590
20/09/2019, 289, 96,240
21/09/2019, 188, 79,135
22/09/2019, 568, 97,340
23/09/2019, 137, 19,478
24/09/2019, 779, 30,389
25/09/2019, 227, 15,249
26/09/2019, 116, 87,377
27/09/2019, 348, 59,126
28/09/2019, 449, 75,140
29/09/2019, 589, 20,569
30/09/2019, 890, 74,400
01/10/2019, 580, 35,447
02/10/2019, 356, 40,668
03/10/2019, 579, 10,488
04/10/2019, 119, 17,890
05/10/2019, 690, 57,340
06/10/2019, 380, 15,447
07/10/2019, 368, 70,136
08/10/2019, 890, 78,378
09/10/2019, 450, 93,247
10/10/2019, 679, 25,357
11/10/2019, 270, 98,288
12/10/2019, 338, 49,117
13/10/2019, 579, 12,660
14/10/2019, 568, 97,250
15/10/2019, 577, 93,166
16/10/2019, 488, 02,129
17/10/2019, 368, 70,677
18/10/2019, 470, 12,390
19/10/2019, 244, 08,477
20/10/2019, 233, 88,459
21/10/2019, 388, 92,688
22/10/2019, 179, 74,112
23/10/2019, 126, 96,556
24/10/2019, 690, 51,128
25/10/2019, 158, 42,255
26/10/2019, 356, 45,159
27/10/2019, 237, 25,258
28/10/2019, 157, 36,790
29/10/2019, 238, 30,334
30/10/2019, 379, 96,448
31/10/2019, 234, 98,170
01/11/2019, 349, 63,256
02/11/2019, 689, 34,167
03/11/2019, 360, 95,357
04/11/2019, 199, 98,170
05/11/2019, 149, 41,380
06/11/2019, 450, 91,119
07/11/2019, 144, 92,679
08/11/2019, 246, 22,570
09/11/2019, 280, 06,123
10/11/2019, 266, 44,167
11/11/2019, 223, 76,358
12/11/2019, 360, 98,134
13/11/2019, 230, 55,799
14/11/2019, 670, 30,118
15/11/2019, 339, 55,249
16/11/2019, 336, 21,344
17/11/2019, 237, 23,346
18/11/2019, 359, 76,169
19/11/2019, 229, 38,800
20/11/2019, 140, 51,146
21/11/2019, 160, 74,590
22/11/2019, 668, 08,224
23/11/2019, 569, 08,288
24/11/2019, 100, 14,680
25/11/2019, 400, 46,330
26/11/2019, 559, 95,780
27/11/2019, 370, 05,500
28/11/2019, 699, 44,257
29/11/2019, 120, 34,167
30/11/2019, 226, 05,168
01/12/2019, 110, 22,570
02/12/2019, 255, 26,277
03/12/2019, 336, 28,279
04/12/2019, 370, 09,379
05/12/2019, 670, 31,579
06/12/2019, 136, 02,345
07/12/2019, 370, 01,146
08/12/2019, 124, 79,126
09/12/2019, 256, 33,256
10/12/2019, 257, 42,390
11/12/2019, 126, 92,156
12/12/2019, 278, 78,125
13/12/2019, 356, 42,237
14/12/2019, 359, 72,237
15/12/2019, 134, 84,239
16/12/2019, 226, 03,599
17/12/2019, 288, 84,248
18/12/2019, 246, 20,299
19/12/2019, 339, 53,689
20/12/2019, 568, 96,880
21/12/2019, 578, 09,379
22/12/2019, 369, 86,277
23/12/2019, 569, 00,145
24/12/2019, 490, 32,147
25/12/2019, 260, 88,477
26/12/2019, 366, 57,449
27/12/2019, 144, 96,448
28/12/2019, 280, 00,578
29/12/2019, 225, 90,136
30/12/2019, 770, 49,379
31/12/2019, 117, 98,233
01/01/2020, 479, 09,270
02/01/2020, 179, 71,236
03/01/2020, 278, 70,569
04/01/2020, 139, 34,356
05/01/2020, 445, 32,480
06/01/2020, 490, 32,570
07/01/2020, 127, 07,115
08/01/2020, 188, 74,347
09/01/2020, 279, 88,134
10/01/2020, 125, 81,146
11/01/2020, 157, 36,178
12/01/2020, 556, 60,389
13/01/2020, 880, 69,225
14/01/2020, 680, 40,136
15/01/2020, 458, 73,670
16/01/2020, 344, 11,579
17/01/2020, 113, 58,233
18/01/2020, 889, 52,679
19/01/2020, 146, 17,368
20/01/2020, 344, 10,668
21/01/2020, 236, 11,290
22/01/2020, 359, 74,158
23/01/2020, 137, 14,446
24/01/2020, 178, 68,440
25/01/2020, 448, 61,128
26/01/2020, ***, **,***
27/01/2020, 477, 82,156
28/01/2020, 224, 86,178
29/01/2020, 377, 78,125
30/01/2020, 135, 91,489
31/01/2020, 568, 95,780
01/02/2020, 369, 82,660
02/02/2020, 129, 22,336
03/02/2020, 279, 80,578
04/02/2020, 900, 99,126
05/02/2020, 340, 77,368
06/02/2020, 690, 50,190
07/02/2020, 269, 70,145
08/02/2020, 238, 30,479
09/02/2020, 256, 38,567
10/02/2020, 580, 39,234
11/02/2020, 279, 89,180
12/02/2020, 160, 73,229
13/02/2020, 288, 88,125
14/02/2020, 236, 18,378
15/02/2020, 590, 40,127
16/02/2020, 350, 86,790
17/02/2020, 668, 00,280
18/02/2020, 125, 89,450
19/02/2020, 112, 40,677
20/02/2020, 266, 46,178
21/02/2020, 458, 73,120
22/02/2020, 149, 47,458
23/02/2020, 790, 65,348
24/02/2020, 133, 79,469
25/02/2020, 778, 26,358
26/02/2020, 668, 04,257
27/02/2020, 699, 40,488
28/02/2020, 199, 94,130
29/02/2020, 390, 26,466
01/03/2020, 148, 36,349
02/03/2020, 699, 47,566
03/03/2020, 468, 80,226
04/03/2020, 600, 65,780
05/03/2020, 188, 70,460
06/03/2020, 550, 01,489
07/03/2020, 480, 22,570
08/03/2020, 347, 40,569
09/03/2020, 147, 24,112
10/03/2020, 000, 00,000
11/03/2020, 190, 05,267
12/03/2020, 336, 29,135
13/03/2020, 268, 69,568
14/03/2020, 800, 85,339
15/03/2020, 468, 89,379
16/03/2020, 800, 89,135
17/03/2020, 689, 33,256
18/03/2020, 880, 67,377
19/03/2020, 780, 51,489
20/03/2020, 660, 22,679
21/03/2020, 579, 12,480
22/03/2020, ***, **,***
