date, leftPanel, pair, rightPanel
28/01/2015, 789, 48,800
29/01/2015, 790, 67,124
30/01/2015, 345, 27,890
31/01/2015, 599, 34,149
02/02/2015, 235, 01,137
03/02/2015, 226, 06,150
04/02/2015, 280, 05,168
05/02/2015, 155, 12,138
06/02/2015, 124, 70,578
07/02/2015, 689, 39,289
09/02/2015, 260, 87,999
10/02/2015, 359, 79,568
11/02/2015, 180, 97,467
12/02/2015, 180, 90,235
13/02/2015, 900, 96,277
14/02/2015, 137, 14,158
16/02/2015, 579, 10,488
17/02/2015, 357, 53,148
18/02/2015, 579, 11,380
19/02/2015, 247, 36,880
20/02/2015, 159, 53,148
21/02/2015, 117, 93,346
23/02/2015, 124, 71,290
24/02/2015, 900, 95,249
25/02/2015, 246, 23,670
26/02/2015, 359, 77,557
27/02/2015, 170, 81,470
28/02/2015, 178, 65,258
02/03/2015, 166, 35,140
03/03/2015, 390, 22,570
04/03/2015, 340, 70,145
05/03/2015, 468, 89,289
06/03/2015, ***, **,***
07/03/2015, 368, 72,499
09/03/2015, 137, 11,236
10/03/2015, 339, 58,350
11/03/2015, 237, 26,150
12/03/2015, 135, 99,126
13/03/2015, 123, 67,890
14/03/2015, 147, 24,400
16/03/2015, 466, 66,178
17/03/2015, 145, 07,890
18/03/2015, 178, 63,788
19/03/2015, 247, 30,479
20/03/2015, 149, 48,170
21/03/2015, 679, 24,789
23/03/2015, 359, 75,168
24/03/2015, 599, 32,156
25/03/2015, 350, 85,780
26/03/2015, 490, 33,779
27/03/2015, 478, 93,670
28/03/2015, 112, 45,249
30/03/2015, 570, 27,890
31/03/2015, 669, 10,479
01/04/2015, 335, 10,578
02/04/2015, 169, 61,128
03/04/2015, 146, 11,588
04/04/2015, 158, 43,580
06/04/2015, 345, 28,350
07/04/2015, 456, 50,668
08/04/2015, 456, 53,689
09/04/2015, 260, 88,279
10/04/2015, 390, 29,469
11/04/2015, 367, 66,240
13/04/2015, 234, 90,370
14/04/2015, 146, 16,259
15/04/2015, 159, 53,157
16/04/2015, 399, 14,158
17/04/2015, 579, 19,360
18/04/2015, 388, 91,579
20/04/2015, 359, 70,569
21/04/2015, 667, 92,336
22/04/2015, 259, 66,349
23/04/2015, 356, 48,260
24/04/2015, 268, 62,246
25/04/2015, 127, 01,470
27/04/2015, 146, 13,148
28/04/2015, 460, 08,369
29/04/2015, 189, 80,389
30/04/2015, 168, 57,368
01/05/2015, 144, 98,459
02/05/2015, 267, 56,349
04/05/2015, 778, 24,130
05/05/2015, 190, 03,166
06/05/2015, 568, 90,578
07/05/2015, 335, 12,246
08/05/2015, 690, 51,128
09/05/2015, 158, 43,490
11/05/2015, 190, 09,144
12/05/2015, 145, 08,567
13/05/2015, 128, 19,360
14/05/2015, 230, 53,256
15/05/2015, 677, 01,344
16/05/2015, 123, 60,389
18/05/2015, 156, 28,279
19/05/2015, 149, 43,300
20/05/2015, 459, 85,230
21/05/2015, 889, 77,160
22/05/2015, 245, 11,579
23/05/2015, 238, 37,133
25/05/2015, 378, 83,157
26/05/2015, 336, 24,455
27/05/2015, 225, 91,579
28/05/2015, 880, 65,447
29/05/2015, 557, 78,189
30/05/2015, 470, 13,247
01/06/2015, 225, 96,259
02/06/2015, 670, 37,557
03/06/2015, 289, 94,347
04/06/2015, 149, 42,390
05/06/2015, 360, 93,238
06/06/2015, 138, 22,147
08/06/2015, 467, 77,133
09/06/2015, 228, 25,122
10/06/2015, 460, 05,339
11/06/2015, 190, 02,390
12/06/2015, 136, 08,189
13/06/2015, 458, 79,135
15/06/2015, 240, 68,189
16/06/2015, 469, 92,237
17/06/2015, 236, 19,469
18/06/2015, 139, 30,118
19/06/2015, 156, 27,359
20/06/2015, 379, 91,669
22/06/2015, 679, 23,599
23/06/2015, 459, 87,467
24/06/2015, 688, 29,900
25/06/2015, 237, 22,345
26/06/2015, 235, 06,114
27/06/2015, 446, 45,366
29/06/2015, 440, 85,230
30/06/2015, 228, 23,148
01/07/2015, 138, 21,579
02/07/2015, 224, 87,160
03/07/2015, 570, 28,233
04/07/2015, 335, 12,138
06/07/2015, 118, 06,169
07/07/2015, 166, 37,890
08/07/2015, 469, 90,235
09/07/2015, 550, 09,117
10/07/2015, 458, 76,367
11/07/2015, 788, 33,445
13/07/2015, 266, 41,399
14/07/2015, 679, 24,167
15/07/2015, 123, 68,260
16/07/2015, 580, 35,159
17/07/2015, 155, 18,990
18/07/2015, ***, **,***
20/07/2015, 239, 49,559
21/07/2015, 150, 66,123
22/07/2015, 149, 48,224
23/07/2015, 358, 64,220
24/07/2015, 578, 03,148
25/07/2015, 690, 51,470
27/07/2015, 278, 71,579
28/07/2015, 230, 52,589
29/07/2015, 178, 61,155
30/07/2015, 380, 16,457
31/07/2015, 147, 25,267
01/08/2015, 280, 03,157
03/08/2015, 678, 11,128
04/08/2015, 790, 64,149
05/08/2015, 458, 79,900
06/08/2015, 134, 85,456
07/08/2015, 334, 17,368
08/08/2015, 377, 75,357
10/08/2015, 149, 47,278
11/08/2015, 590, 45,456
12/08/2015, 249, 58,233
13/08/2015, 678, 18,468
14/08/2015, 178, 69,667
15/08/2015, ***, **,***
17/08/2015, 330, 63,300
18/08/2015, 134, 82,570
19/08/2015, 355, 30,244
20/08/2015, 127, 07,359
21/08/2015, 569, 02,147
22/08/2015, 567, 82,589
24/08/2015, 150, 62,390
25/08/2015, 389, 09,469
26/08/2015, 239, 46,123
27/08/2015, 570, 28,459
28/08/2015, 129, 27,890
29/08/2015, ***, **,***
31/08/2015, 679, 21,137
01/09/2015, 156, 28,477
02/09/2015, 790, 67,458
03/09/2015, 179, 79,289
04/09/2015, 280, 05,140
05/09/2015, 257, 49,450
07/09/2015, 124, 73,157
08/09/2015, 270, 99,577
09/09/2015, 149, 47,368
10/09/2015, 115, 70,460
11/09/2015, 137, 18,125
12/09/2015, 669, 11,137
14/09/2015, 350, 83,148
15/09/2015, 180, 94,158
16/09/2015, 590, 48,288
17/09/2015, 569, 06,150
18/09/2015, 135, 99,270
19/09/2015, 249, 57,467
21/09/2015, 459, 86,790
22/09/2015, 157, 31,137
23/09/2015, 139, 36,367
24/09/2015, 680, 41,579
25/09/2015, 349, 60,280
26/09/2015, 689, 30,334
28/09/2015, 567, 82,129
29/09/2015, 558, 83,689
30/09/2015, 115, 71,128
01/10/2015, 149, 40,136
02/10/2015, 800, 82,246
03/10/2015, 558, 86,240
05/10/2015, 448, 65,168
06/10/2015, 159, 59,180
07/10/2015, 266, 42,688
08/10/2015, 330, 68,224
09/10/2015, 590, 48,350
10/10/2015, 449, 70,127
12/10/2015, 118, 05,140
13/10/2015, 280, 07,340
14/10/2015, 250, 75,249
15/10/2015, 489, 11,470
16/10/2015, 115, 73,139
17/10/2015, 340, 74,248
19/10/2015, 110, 27,115
20/10/2015, 568, 90,550
21/10/2015, 456, 57,124
22/10/2015, 359, 78,224
23/10/2015, 689, 31,588
24/10/2015, 359, 71,669
26/10/2015, 379, 90,280
27/10/2015, 128, 17,269
28/10/2015, 228, 27,124
29/10/2015, 567, 89,117
30/10/2015, 799, 57,458
31/10/2015, 157, 35,348
02/11/2015, 138, 29,469
03/11/2015, 120, 38,125
04/11/2015, 129, 22,688
05/11/2015, 889, 53,580
06/11/2015, 247, 31,155
07/11/2015, 238, 33,689
16/11/2015, 250, 74,130
17/11/2015, 660, 23,229
18/11/2015, 130, 46,123
19/11/2015, 170, 89,117
20/11/2015, 440, 80,235
21/11/2015, 680, 42,778
23/11/2015, 266, 41,128
24/11/2015, 148, 36,790
25/11/2015, 349, 68,125
26/11/2015, 557, 70,578
27/11/2015, 569, 09,126
28/11/2015, 179, 70,370
30/11/2015, 129, 20,370
01/12/2015, 578, 03,120
