date, leftPanel, pair, rightPanel
19/10/2016, 124, 73,300
20/10/2016, 139, 39,126
21/10/2016, 134, 89,900
24/10/2016, 114, 67,467
25/10/2016, 127, 04,149
26/10/2016, 269, 72,570
27/10/2016, 256, 36,367
28/10/2016, ***, **,***
31/10/2016, ***, **,***
01/11/2016, ***, **,***
02/11/2016, ***, **,***
03/11/2016, ***, **,***
04/11/2016, ***, **,***
07/11/2016, 588, 16,899
08/11/2016, 467, 71,560
09/11/2016, 789, 46,790
10/11/2016, ***, **,***
11/11/2016, ***, **,***
14/11/2016, ***, **,***
15/11/2016, ***, **,***
16/11/2016, ***, **,***
17/11/2016, ***, **,***
18/11/2016, ***, **,***
21/11/2016, ***, **,***
22/11/2016, ***, **,***
23/11/2016, ***, **,***
24/11/2016, ***, **,***
25/11/2016, ***, **,***
28/11/2016, ***, **,***
29/11/2016, ***, **,***
30/11/2016, ***, **,***
01/12/2016, ***, **,***
02/12/2016, ***, **,***
05/12/2016, 490, 34,130
06/12/2016, 150, 67,160
07/12/2016, 249, 54,789
08/12/2016, 168, 58,134
09/12/2016, 360, 91,489
12/12/2016, 134, 82,570
13/12/2016, 227, 10,299
14/12/2016, 256, 39,360
15/12/2016, 260, 84,130
16/12/2016, 677, 08,350
19/12/2016, 369, 88,116
20/12/2016, 136, 08,378
21/12/2016, 577, 91,579
22/12/2016, 677, 05,348
23/12/2016, 590, 43,788
26/12/2016, 679, 22,156
27/12/2016, 249, 55,690
28/12/2016, 126, 95,889
29/12/2016, 230, 51,138
30/12/2016, 290, 18,260
02/01/2017, 359, 78,567
03/01/2017, 135, 99,478
04/01/2017, 188, 74,167
05/01/2017, 459, 84,347
06/01/2017, 224, 81,290
09/01/2017, 450, 94,446
10/01/2017, 570, 25,456
11/01/2017, 177, 54,347
12/01/2017, 368, 70,460
13/01/2017, 780, 55,140
16/01/2017, 124, 70,479
17/01/2017, 149, 47,278
18/01/2017, 550, 08,459
19/01/2017, 147, 24,669
20/01/2017, 148, 39,199
23/01/2017, 139, 37,368
24/01/2017, 110, 23,148
25/01/2017, 589, 29,450
26/01/2017, ***, **,***
27/01/2017, 490, 33,788
30/01/2017, 390, 21,137
31/01/2017, 660, 28,558
01/02/2017, 145, 05,357
02/02/2017, 490, 32,336
03/02/2017, 229, 31,560
06/02/2017, 368, 72,225
07/02/2017, 380, 14,347
08/02/2017, 450, 92,480
09/02/2017, 147, 22,237
10/02/2017, 135, 95,348
13/02/2017, 233, 80,460
14/02/2017, 899, 62,589
15/02/2017, 700, 74,158
16/02/2017, 346, 34,590
17/02/2017, 388, 98,134
20/02/2017, 366, 51,236
21/02/2017, 490, 33,247
22/02/2017, 256, 38,350
23/02/2017, 180, 98,288
24/02/2017, 236, 15,267
27/02/2017, 159, 53,346
28/02/2017, 348, 56,367
01/03/2017, 337, 30,299
02/03/2017, 379, 97,278
03/03/2017, 456, 50,136
06/03/2017, 158, 47,359
07/03/2017, 236, 16,240
08/03/2017, 389, 08,134
09/03/2017, 235, 02,589
10/03/2017, 179, 71,146
13/03/2017, ***, **,***
14/03/2017, 448, 60,226
15/03/2017, 267, 53,166
16/03/2017, 457, 62,156
17/03/2017, 147, 20,677
20/03/2017, 899, 66,268
21/03/2017, 223, 74,257
22/03/2017, 455, 41,128
23/03/2017, 668, 07,467
24/03/2017, 234, 95,267
27/03/2017, 130, 44,680
28/03/2017, 239, 48,800
29/03/2017, 148, 38,224
30/03/2017, 339, 56,240
31/03/2017, 355, 36,899
03/04/2017, 369, 86,178
04/04/2017, 560, 15,258
05/04/2017, 230, 58,134
06/04/2017, 233, 81,560
07/04/2017, 440, 83,355
10/04/2017, 158, 43,346
11/04/2017, 450, 99,478
12/04/2017, 556, 62,138
13/04/2017, 390, 22,570
14/04/2017, 290, 16,114
17/04/2017, 890, 77,250
18/04/2017, 188, 73,346
19/04/2017, 177, 59,180
20/04/2017, 223, 75,140
21/04/2017, 368, 78,800
24/04/2017, 445, 30,118
25/04/2017, 190, 01,146
26/04/2017, 459, 89,577
27/04/2017, 349, 61,588
28/04/2017, 467, 75,140
01/05/2017, 399, 17,890
02/05/2017, 126, 91,119
03/05/2017, 556, 60,226
04/05/2017, 460, 05,267
05/05/2017, 126, 90,488
08/05/2017, 179, 76,169
09/05/2017, 340, 74,257
10/05/2017, 678, 19,388
11/05/2017, 345, 27,188
12/05/2017, 679, 27,160
15/05/2017, 779, 34,257
16/05/2017, 138, 25,780
17/05/2017, 136, 09,234
18/05/2017, 140, 51,227
19/05/2017, 578, 02,156
22/05/2017, 788, 34,257
23/05/2017, 360, 90,389
24/05/2017, 368, 74,239
25/05/2017, 138, 29,135
26/05/2017, 589, 29,126
29/05/2017, 127, 02,390
30/05/2017, 670, 37,250
31/05/2017, 367, 63,445
01/06/2017, 267, 54,239
02/06/2017, 577, 91,290
05/06/2017, 489, 17,124
06/06/2017, 478, 97,458
07/06/2017, 660, 26,367
08/06/2017, 188, 74,680
09/06/2017, 133, 70,244
12/06/2017, 156, 27,700
13/06/2017, 136, 08,468
14/06/2017, 270, 99,379
15/06/2017, 570, 28,233
16/06/2017, 338, 44,338
