date, leftPanel, pair, rightPanel
03/10/2018, 678, 15,500
04/10/2018, 780, 59,135
05/10/2018, 135, 92,679
06/10/2018, 244, 65,690
07/10/2018, 449, 70,460
08/10/2018, 270, 95,140
09/10/2018, 569, 09,289
10/10/2018, 570, 24,149
11/10/2018, 136, 08,567
12/10/2018, 220, 41,119
13/10/2018, 340, 71,588
14/10/2018, 233, 80,677
15/10/2018, 699, 42,138
16/10/2018, 147, 23,346
17/10/2018, 118, 08,459
18/10/2018, 579, 11,137
19/10/2018, 333, 98,224
20/10/2018, 400, 42,156
21/10/2018, 680, 43,256
22/10/2018, 122, 54,248
23/10/2018, 145, 05,366
24/10/2018, 280, 00,235
25/10/2018, 178, 66,457
26/10/2018, 469, 98,440
27/10/2018, 116, 81,290
28/10/2018, 268, 69,360
29/10/2018, 170, 81,146
30/10/2018, 136, 07,124
31/10/2018, 123, 69,559
01/11/2018, 235, 00,578
02/11/2018, 135, 91,678
03/11/2018, 340, 75,267
04/11/2018, 469, 99,199
05/11/2018, 150, 56,268
06/11/2018, 260, 80,479
07/11/2018, 249, 51,227
08/11/2018, 567, 89,900
09/11/2018, 116, 80,389
10/11/2018, 112, 44,236
11/11/2018, 124, 71,245
12/11/2018, 278, 71,146
13/11/2018, 490, 37,368
14/11/2018, 669, 13,247
15/11/2018, 357, 53,247
16/11/2018, 780, 51,155
17/11/2018, 469, 97,458
18/11/2018, 470, 11,146
19/11/2018, 334, 07,160
20/11/2018, 246, 23,166
21/11/2018, 789, 41,380
22/11/2018, 139, 31,335
23/11/2018, 344, 19,379
24/11/2018, 390, 23,157
25/11/2018, 126, 98,468
26/11/2018, 155, 16,259
27/11/2018, 489, 12,147
28/11/2018, 279, 85,267
29/11/2018, 579, 10,145
30/11/2018, 399, 10,235
01/12/2018, 770, 45,447
02/12/2018, 336, 22,246
03/12/2018, 247, 39,270
04/12/2018, 288, 89,135
05/12/2018, 478, 93,120
06/12/2018, 660, 29,234
07/12/2018, 668, 05,267
08/12/2018, 120, 39,469
09/12/2018, 125, 82,237
10/12/2018, 256, 31,489
11/12/2018, 569, 00,334
12/12/2018, 257, 40,578
13/12/2018, 133, 77,458
14/12/2018, 340, 77,278
15/12/2018, 167, 45,799
16/12/2018, 112, 43,166
17/12/2018, 347, 40,550
18/12/2018, 336, 29,117
19/12/2018, 488, 04,239
20/12/2018, 346, 60,568
21/12/2018, 570, 21,470
22/12/2018, 599, 39,568
23/12/2018, 339, 56,169
24/12/2018, 467, 72,147
25/12/2018, 459, 85,168
26/12/2018, 110, 21,399
27/12/2018, 600, 60,677
28/12/2018, 358, 69,289
29/12/2018, 227, 11,137
30/12/2018, 890, 79,388
31/12/2018, 122, 59,360
01/01/2019, 550, 08,116
02/01/2019, 690, 52,499
03/01/2019, 679, 23,670
04/01/2019, 778, 25,249
05/01/2019, 260, 87,467
06/01/2019, 679, 23,238
07/01/2019, 689, 35,140
08/01/2019, 489, 11,669
09/01/2019, 880, 84,590
10/01/2019, 488, 03,247
11/01/2019, 137, 15,357
12/01/2019, 245, 11,236
13/01/2019, 779, 32,138
14/01/2019, 478, 92,255
15/01/2019, 155, 18,125
16/01/2019, 599, 33,788
17/01/2019, 499, 22,570
18/01/2019, 379, 91,245
19/01/2019, 569, 05,159
20/01/2019, 188, 73,148
21/01/2019, 167, 40,226
22/01/2019, 189, 87,223
23/01/2019, 260, 82,246
24/01/2019, 570, 20,226
25/01/2019, 890, 74,338
26/01/2019, ***, **,***
27/01/2019, 244, 09,559
28/01/2019, 256, 33,580
29/01/2019, 248, 49,559
30/01/2019, 446, 49,577
31/01/2019, 366, 57,188
01/02/2019, 267, 58,116
02/02/2019, 500, 52,156
03/02/2019, 137, 12,156
04/02/2019, 899, 69,667
05/02/2019, 138, 23,689
06/02/2019, 150, 66,240
07/02/2019, 348, 53,247
08/02/2019, 778, 26,240
09/02/2019, 579, 12,679
10/02/2019, 348, 54,347
11/02/2019, 778, 34,680
12/02/2019, 266, 47,115
13/02/2019, 990, 81,470
14/02/2019, 356, 43,157
15/02/2019, 257, 48,189
16/02/2019, 137, 12,147
17/02/2019, 668, 06,150
18/02/2019, 660, 29,478
19/02/2019, 348, 56,178
20/02/2019, 119, 10,136
21/02/2019, 480, 28,233
22/02/2019, 330, 64,149
23/02/2019, 460, 08,189
24/02/2019, 490, 31,560
25/02/2019, 269, 75,230
26/02/2019, 200, 22,110
27/02/2019, 489, 16,790
28/02/2019, 368, 71,380
01/03/2019, 890, 79,126
02/03/2019, 238, 38,369
03/03/2019, 346, 36,367
04/03/2019, 577, 99,289
05/03/2019, 228, 29,469
06/03/2019, 338, 45,249
07/03/2019, 256, 35,339
08/03/2019, 400, 43,157
09/03/2019, 244, 00,578
10/03/2019, 780, 52,246
11/03/2019, 458, 79,568
12/03/2019, 770, 48,369
13/03/2019, 789, 45,249
14/03/2019, 345, 20,244
15/03/2019, 168, 50,677
16/03/2019, 155, 10,479
17/03/2019, 123, 65,267
18/03/2019, 599, 31,245
19/03/2019, 399, 18,279
20/03/2019, 100, 18,116
21/03/2019, ***, **,***
22/03/2019, 379, 90,235
23/03/2019, 220, 46,277
24/03/2019, 256, 39,559
25/03/2019, 677, 08,567
26/03/2019, 269, 78,378
27/03/2019, 230, 06,899
28/03/2019, 468, 83,788
29/03/2019, 490, 37,557
30/03/2019, 556, 68,440
31/03/2019, 466, 66,349
01/04/2019, 400, 41,290
02/04/2019, 770, 48,800
03/04/2019, 238, 32,255
04/04/2019, 588, 19,360
05/04/2019, 569, 08,459
06/04/2019, 114, 68,567
07/04/2019, 478, 98,134
08/04/2019, 148, 30,136
09/04/2019, 479, 06,169
10/04/2019, 167, 42,138
11/04/2019, 667, 98,260
12/04/2019, 460, 04,347
13/04/2019, 370, 09,225
14/04/2019, 126, 28,134
15/04/2019, 456, 58,189
16/04/2019, 146, 10,389
17/04/2019, 448, 63,490
18/04/2019, 277, 69,388
19/04/2019, 123, 69,234
20/04/2019, 246, 28,125
21/04/2019, 668, 06,899
22/04/2018, 290, 14,338
23/04/2018, 490, 39,469
24/04/2018, 446, 46,150
25/04/2018, 689, 31,100
26/04/2018, 359, 75,780
27/04/2018, 278, 76,358
28/04/2018, 378, 85,258
29/04/2019, 246, 26,169
30/04/2019, 148, 37,160
01/05/2019, 380, 17,359
02/05/2019, 889, 52,110
03/05/2019, 667, 98,378
04/05/2019, 679, 28,170
05/05/2019, 267, 50,136
06/05/2019, 680, 43,229
07/05/2019, 359, 78,125
08/05/2019, 559, 99,469
09/05/2019, 227, 11,290
10/05/2019, 700, 79,379
11/05/2019, 144, 91,335
12/05/2019, 334, 00,127
13/05/2019, 900, 99,144
14/05/2019, 378, 80,136
15/05/2019, 259, 69,568
16/05/2019, 270, 90,389
17/05/2019, 166, 66,689
18/05/2019, 169, 69,117
19/05/2019, 368, 70,479
20/05/2019, 120, 38,350
21/05/2019, 135, 94,158
22/05/2019, 679, 24,356
23/05/2019, 688, 20,479
24/05/2019, 145, 04,239
25/05/2019, 344, 18,666
26/05/2019, 224, 84,680
27/05/2019, 134, 81,137
28/05/2019, 348, 59,234
29/05/2019, 458, 79,117
30/05/2019, 269, 77,124
31/05/2019, 790, 62,589
01/06/2019, 160, 72,147
02/06/2019, 367, 62,570
03/06/2019, 229, 33,238
04/06/2019, 268, 63,445
05/06/2019, 449, 77,340
06/06/2019, 236, 12,246
07/06/2019, 188, 70,145
08/06/2019, 117, 92,147
09/06/2019, 499, 25,780
10/06/2019, 566, 76,240
11/06/2019, 200, 21,119
12/06/2019, 560, 19,379
13/06/2019, 669, 10,299
14/06/2019, 480, 20,460
15/06/2019, 256, 37,359
16/06/2019, 346, 31,128
17/06/2019, 568, 97,124
18/06/2019, 489, 19,289
19/06/2019, 227, 13,238
20/06/2019, 240, 66,259
21/06/2019, 380, 10,578
22/06/2019, 479, 00,235
23/06/2019, 358, 62,570
24/06/2019, 337, 30,145
25/06/2019, 130, 44,130
26/06/2019, 127, 08,350
27/06/2019, 190, 06,150
28/06/2019, 117, 97,566
29/06/2019, 477, 89,450
30/06/2019, 489, 15,168
01/07/2019, 148, 30,479
02/07/2019, 449, 75,140
03/07/2019, 225, 90,226
04/07/2019, 567, 81,245
05/07/2019, 250, 73,689
06/07/2019, 355, 31,678
07/07/2019, 450, 95,348
08/07/2019, 268, 67,124
09/07/2019, 699, 41,579
10/07/2019, 270, 90,460
11/07/2019, 359, 73,788
12/07/2019, 169, 67,223
13/07/2019, 245, 15,447
14/07/2019, 560, 18,369
15/07/2019, 135, 95,258
16/07/2019, 267, 52,688
17/07/2019, 469, 92,778
18/07/2019, 355, 36,899
19/07/2019, 580, 38,459
20/07/2019, 467, 77,368
21/07/2019, 120, 32,390
22/07/2019, 133, 70,389
23/07/2019, 568, 98,233
24/07/2019, 780, 50,488
25/07/2019, 158, 48,378
26/07/2019, 455, 44,112
27/07/2019, 378, 80,677
28/07/2019, 199, 96,240
29/07/2019, 277, 64,680
30/07/2019, 445, 39,559
31/07/2019, 238, 36,178
01/08/2019, 299, 03,788
02/08/2019, 259, 67,115
03/08/2019, 288, 81,155
04/08/2019, 479, 94,590
05/08/2019, 257, 44,239
06/08/2019, 660, 29,568
07/08/2019, 280, 04,112
08/08/2019, 189, 87,340
09/08/2019, 448, 66,790
10/08/2019, 399, 11,335
11/08/2019, 290, 15,159
12/08/2019, 358, 69,900
13/08/2019, 360, 99,667
14/08/2019, 570, 24,248
15/08/2019, ***, **,***
16/08/2019, 134, 85,177
17/08/2019, 369, 84,770
18/08/2019, 244, 02,390
19/08/2019, 167, 40,145
20/08/2019, 440, 88,567
21/08/2019, 459, 89,135
22/08/2019, 356, 41,560
23/08/2019, 578, 06,150
24/08/2019, 240, 69,469
25/08/2019, 224, 84,239
26/08/2019, 450, 90,235
27/08/2019, 369, 82,688
28/08/2019, 155, 15,140
29/08/2019, 249, 50,280
30/08/2019, 699, 48,134
31/08/2019, 558, 82,110
01/09/2019, 178, 68,477
02/09/2019, 122, 57,278
03/09/2019, 129, 24,338
04/09/2019, 470, 19,126
05/09/2019, 446, 41,290
06/09/2019, 488, 02,679
07/09/2019, 889, 50,226
08/09/2019, 113, 50,677
09/09/2019, 579, 15,339
10/09/2019, 266, 40,370
11/09/2019, 150, 68,990
12/09/2019, 770, 42,156
13/09/2019, 689, 35,357
14/09/2019, 458, 67,124
15/09/2019, 490, 37,368
19/09/2019, 238, 39,388
20/09/2019, 340, 70,479
21/09/2019, 180, 91,146
22/09/2019, 789, 48,279
23/09/2019, 367, 67,369
24/09/2019, 900, 90,479
25/09/2019, 267, 51,588
23/09/2019, 799, 51,678
24/09/2019, 459, 89,577
25/09/2019, 467, 76,790
26/09/2019, 133, 78,558
27/09/2019, 334, 07,269
28/09/2019, 469, 93,355
29/09/2019, 245, 14,338
30/09/2019, 110, 27,458
01/10/2019, 129, 23,111
02/10/2019, 130, 40,479
03/10/2019, 336, 20,280
04/10/2019, 446, 40,136
05/10/2019, 268, 69,225
06/10/2019, 114, 67,449
07/10/2019, 588, 17,890
08/10/2019, 578, 06,259
09/10/2019, 167, 42,570
10/10/2019, 170, 80,145
11/10/2019, 169, 60,389
12/10/2019, 177, 57,557
13/10/2019, 344, 16,259
14/10/2019, 667, 97,278
15/10/2019, 550, 00,668
16/10/2019, 467, 97,340
17/10/2019, 488, 02,129
18/10/2019, 368, 70,688
19/10/2019, 256, 31,380
20/10/2019, 347, 40,136
27/10/2019, 578, 00,127
28/10/2019, 678, 11,245
29/10/2019, 125, 82,156
30/10/2019, 346, 34,167
31/10/2019, 135, 90,488
01/11/2019, 689, 30,127
02/11/2019, 166, 37,999
28/10/2019, 279, 85,690
29/10/2019, 478, 93,355
30/10/2019, 289, 96,466
31/10/2019, 169, 67,269
01/11/2019, 225, 91,128
02/11/2019, 469, 96,349
03/11/2019, 236, 13,139
04/11/2019, 680, 47,467
05/11/2019, 126, 93,455
06/11/2019, 579, 17,449
07/11/2019, 990, 86,556
08/11/2019, 249, 51,579
09/11/2019, 145, 02,778
10/11/2019, 159, 55,258
11/11/2019, 234, 94,347
12/11/2019, 359, 76,178
13/11/2019, 156, 23,247
14/11/2019, 580, 34,257
15/11/2019, 470, 13,689
16/11/2019, 269, 73,157
17/11/2019, 788, 34,356
18/11/2019, 177, 52,129
19/11/2019, 188, 79,126
20/11/2019, 789, 40,136
21/11/2019, 130, 40,389
22/11/2019, 466, 69,450
23/11/2019, 135, 95,690
24/11/2019, 669, 10,190
25/11/2019, 799, 52,156
26/11/2019, 379, 93,580
27/11/2019, 124, 71,380
28/11/2019, 478, 97,890
29/11/2019, 278, 71,155
30/11/2019, 259, 60,299
01/12/2019, 469, 90,127
02/12/2019, 459, 81,470
03/12/2019, 145, 06,178
04/12/2019, 447, 57,223
05/12/2019, 349, 36,259
06/12/2019, 378, 86,349
07/12/2019, 160, 71,128
08/12/2019, 279, 87,557
09/12/2019, 355, 32,336
10/12/2019, 688, 20,550
11/12/2019, 339, 52,499
12/12/2019, 248, 47,566
13/12/2019, 268, 69,270
14/12/2019, 790, 65,249
15/12/2019, 259, 68,170
16/12/2019, 890, 79,450
17/12/2019, 360, 99,568
18/12/2019, 133, 73,689
19/12/2019, 168, 53,148
20/12/2019, 399, 19,667
21/12/2019, 250, 71,236
22/12/2019, 390, 27,467
23/12/2019, 579, 10,136
24/12/2019, 460, 09,270
25/12/2019, 670, 35,555
