date, leftPanel, pair, rightPanel
04/09/2013, 248, 28,369
05/09/2013, 338, 42,246
06/09/2013, 266, 45,799
07/09/2013, 799, 52,138
09/09/2013, ***, **,***
10/09/2013, 370, 01,290
11/09/2013, 244, 07,359
12/09/2013, 260, 81,146
13/09/2013, 589, 20,145
14/09/2013, 446, 48,189
16/09/2013, 256, 31,236
17/09/2013, 458, 77,250
18/09/2013, 357, 55,168
19/09/2013, 679, 27,359
20/09/2013, 368, 77,179
21/09/2013, 570, 24,158
23/09/2013, 249, 54,680
24/09/2013, 379, 95,889
25/09/2013, 490, 30,127
26/09/2013, 467, 73,346
27/09/2013, 148, 30,569
28/09/2013, 140, 59,135
30/09/2013, 159, 57,340
01/10/2013, 690, 59,388
02/10/2013, 112, 41,560
03/10/2013, 367, 68,567
04/10/2013, 379, 94,130
05/10/2013, 779, 37,890
07/10/2013, 156, 22,390
08/10/2013, 389, 03,166
09/10/2013, 490, 33,256
10/10/2013, 578, 06,556
11/10/2013, 279, 80,127
12/10/2013, 278, 71,236
14/10/2013, 660, 29,126
15/10/2013, 289, 93,689
16/10/2013, 126, 97,557
17/10/2013, 157, 33,157
18/10/2013, 468, 86,790
19/10/2013, 468, 82,679
21/10/2013, 690, 51,290
22/10/2013, 370, 03,157
23/10/2013, 348, 52,237
24/10/2013, 178, 68,260
25/10/2013, 679, 26,114
26/10/2013, 578, 03,346
28/10/2013, 117, 94,356
29/10/2013, 880, 64,239
30/10/2013, 378, 86,150
31/10/2013, 356, 40,578
01/11/2013, ***, **,***
02/11/2013, ***, **,***
11/11/2013, 268, 61,678
12/11/2013, 156, 21,335
13/11/2013, 345, 25,366
14/11/2013, 366, 54,112
15/11/2013, 248, 45,168
16/11/2013, 348, 54,590
18/11/2013, 390, 20,578
19/11/2013, 237, 21,380
20/11/2013, 589, 27,278
21/11/2013, 890, 71,290
22/11/2013, 135, 94,257
23/11/2013, 478, 97,269
25/11/2013, 179, 76,349
26/11/2013, 190, 05,357
27/11/2013, 270, 93,445
28/11/2013, 127, 01,470
29/11/2013, 249, 51,137
30/11/2013, 260, 89,234
02/12/2013, 888, 45,122
03/12/2013, 139, 31,588
04/12/2013, 790, 60,190
05/12/2013, 570, 28,567
06/12/2013, 250, 70,334
07/12/2013, 458, 76,114
09/12/2013, 570, 28,378
10/12/2013, 456, 52,570
11/12/2013, 679, 20,244
12/12/2013, 356, 41,227
13/12/2013, 480, 29,225
14/12/2013, 680, 48,477
16/12/2013, 300, 32,246
17/12/2013, 466, 67,124
18/12/2013, 338, 41,227
19/12/2013, 290, 16,349
20/12/2013, 330, 65,159
21/12/2013, 179, 79,126
23/12/2013, 260, 80,460
24/12/2013, 567, 83,580
25/12/2013, 267, 51,128
26/12/2013, 357, 54,257
27/12/2013, 900, 98,224
28/12/2013, 267, 58,350
30/12/2013, 279, 83,229
31/12/2013, 118, 08,233
01/01/2014, 699, 48,350
02/01/2014, 259, 68,567
03/01/2014, 224, 86,466
04/01/2014, 122, 52,228
06/01/2014, 238, 39,126
07/01/2014, 280, 01,245
08/01/2014, 468, 83,139
09/01/2014, 247, 32,688
10/01/2014, 800, 87,359
11/01/2014, 239, 42,679
13/01/2014, 134, 82,246
14/01/2014, ***, **,***
15/01/2014, 124, 73,689
16/01/2014, 560, 18,567
17/01/2014, 359, 78,350
18/01/2014, 136, 05,159
20/01/2014, 350, 89,234
21/01/2014, 116, 80,460
22/01/2014, 345, 20,460
23/01/2014, 248, 49,225
24/01/2014, 259, 63,300
25/01/2014, 188, 74,167
27/01/2014, 350, 87,557
28/01/2014, 157, 30,127
29/01/2014, 256, 32,589
30/01/2014, 190, 02,480
31/01/2014, 344, 16,349
01/02/2014, 145, 02,246
03/02/2014, 688, 24,257
04/02/2014, 480, 29,568
05/02/2014, 459, 86,259
06/02/2014, 380, 15,456
07/02/2014, 130, 43,148
08/02/2014, 239, 40,569
10/02/2014, 280, 09,126
11/02/2014, 369, 84,446
12/02/2014, 449, 78,288
